module_id,logical_block,historical_bug_count,avg_bug_severity,avg_fix_time_days,lines_of_code
MOD_000,CPU,4,3.286191608818446,2.8373340794550925,1634
MOD_001,SECURITY,5,2.100563521168678,1.937585588140437,5905
MOD_002,IO,3,1.5520449868663801,2.4705605726339264,3699
MOD_003,FABRIC,1,1.7279065902141024,2.1231392218324117,14750
MOD_004,FABRIC,4,1.9198191483713973,2.905737445747443,895
MOD_005,SECURITY,4,4.202775785948131,1.2422716086433687,4207
MOD_006,CPU,5,1.842890656620491,1.5329547546090094,12029
MOD_007,IO,2,3.170791362989076,5.129247112028298,13957
MOD_008,GPU,3,1.777658257530379,1.712577418725969,10165
MOD_009,CPU,0,3.245258410299395,1.9032144215453604,17242
MOD_010,MEM_CTRL,1,2.8079607728846905,4.836913528321314,18395
MOD_011,POWER_MGMT,1,2.3746896818735275,5.905067169240407,2815
MOD_012,IO,0,2.467389979091653,1.8284333711746583,19059
MOD_013,SECURITY,3,1.9761698436564876,2.6317510432119695,12364
MOD_014,IO,21,3.3568577611856645,5.34155555094051,12797
MOD_015,SECURITY,1,2.136013215727376,4.728697644405592,2082
MOD_016,MEM_CTRL,3,1.5195153889862014,2.0131429215717627,12513
MOD_017,GPU,1,1.4776499405443044,2.75472215405789,14569
MOD_018,SECURITY,1,2.6380703341776957,3.7773375760617443,11699
MOD_019,FABRIC,1,3.7632730051283483,3.4347660744666184,1872
MOD_020,MEM_CTRL,5,2.6279932908587504,2.623843928769901,10559
MOD_021,DSP,4,2.4050893391120938,2.866177035483959,18731
MOD_022,GPU,4,2.7286609116820344,1.6251041916300182,14523
MOD_023,POWER_MGMT,39,4.04480139336546,4.761826256025335,2920
MOD_024,SECURITY,9,2.675506001091085,2.733612509991045,19206
MOD_025,IO,6,2.17125821533301,3.232169889626256,19185
MOD_026,FABRIC,4,3.385030968047911,2.444672781180984,3554
MOD_027,SECURITY,2,2.843005150769291,3.471538522545139,16057
MOD_028,MEM_CTRL,1,3.7286047935967934,4.012715817819829,8252
MOD_029,FABRIC,3,2.646587549777525,3.155429327668466,11954
MOD_030,FABRIC,1,1.5204247746235997,3.3517564083992033,9014
MOD_031,GPU,4,1.4054726406034679,3.053155347577867,15695
MOD_032,CPU,6,3.820742345785,3.0000843930914143,19933
MOD_033,MEM_CTRL,3,3.878932576626638,2.2784419664571525,15943
MOD_034,POWER_MGMT,1,2.3563846293739195,3.316494261673308,18641
MOD_035,CPU,3,2.19345014309121,2.9027134015865106,18931
MOD_036,SECURITY,10,3.6691554337937617,5.093168308930595,1984
MOD_037,SECURITY,4,1.6143634543652094,4.573354902475242,5216
MOD_038,DSP,7,1.7842183848353388,3.385846552556501,14492
MOD_039,IO,2,3.0146614357512354,2.2369427903052324,11883
MOD_040,GPU,3,2.184315901712328,1.887588528016582,1192
MOD_041,SECURITY,2,2.495902506623943,4.191142953088865,2081
MOD_042,IO,2,2.36924568118039,3.2627492251471386,10506
MOD_043,DSP,1,2.7700596390391468,3.4801434033916108,12400
MOD_044,CPU,1,3.6259854890509735,1.2554140130258074,3520
MOD_045,POWER_MGMT,2,2.5724679255213965,3.927438481558181,3591
MOD_046,FABRIC,5,3.0151510346214865,3.454420338214363,2760
MOD_047,POWER_MGMT,2,1.0,1.889569315585522,11386
MOD_048,IO,2,2.4610252784559057,2.528475192550051,355
MOD_049,SECURITY,3,1.825415783765703,3.2637172043565195,11534
MOD_050,SECURITY,2,1.5249495516610976,3.0524667983562437,9623
MOD_051,GPU,6,1.7974781064569993,2.707828814196445,9426
MOD_052,DSP,5,2.2327012474393504,2.896511731934039,13649
MOD_053,FABRIC,1,3.2327220338848104,2.7480226217931145,10548
MOD_054,FABRIC,1,1.4388858258083488,3.1525625121024685,14609
MOD_055,CPU,2,2.524505194075534,4.471491972993157,15325
MOD_056,MEM_CTRL,3,2.1126644533331373,0.5,18418
MOD_057,GPU,1,2.237861524510431,2.7631497354903156,16025
MOD_058,IO,1,3.3022062602436835,3.176512421372447,10450
MOD_059,IO,7,2.9304923496031408,3.2959939896870996,9944
MOD_060,POWER_MGMT,3,3.569918485954195,2.62808541867871,4867
MOD_061,IO,14,2.8763954566000796,3.2432782175214174,12071
MOD_062,DSP,6,1.9432459106634377,3.3279954837141097,2954
MOD_063,POWER_MGMT,5,2.3209129464956004,4.7273502141641845,18638
MOD_064,FABRIC,6,2.6939974330169774,1.4661385950838624,16931
MOD_065,DSP,2,2.641258686762969,3.863828013698188,2570
MOD_066,POWER_MGMT,3,1.6324895422133068,2.671474776877106,15761
MOD_067,DSP,2,2.5723918253022995,2.9386756541711527,2518
MOD_068,CPU,0,2.6825826641111243,1.947101489296051,14480
MOD_069,FABRIC,7,4.513979230027136,2.6655438276441235,1936
MOD_070,SECURITY,1,4.0014756890253365,4.300044594698958,9866
MOD_071,GPU,2,1.817405319552944,3.582655241987707,13225
MOD_072,FABRIC,1,2.270093310760659,4.732311605409944,14630
MOD_073,GPU,2,1.3292463985303975,4.177411888977693,8488
MOD_074,IO,1,2.027434388829211,3.439086678929576,18448
MOD_075,FABRIC,3,2.7524840028722726,4.743934526167792,15531
MOD_076,DSP,9,3.464682896710587,3.438993158738299,4323
MOD_077,GPU,6,1.916732929805113,3.827988176797059,13490
MOD_078,MEM_CTRL,5,1.9766828479457628,2.7034290464652915,14664
MOD_079,IO,2,1.0,3.0665458158592047,6806
