commit_id,timestamp,author_id,files_changed,modules_touched,lines_added,lines_deleted,complexity_score,branch,commit_message_category,author_experience_score,total_lines_changed,code_churn_window
CMT_00000,2024-01-01 06:24:27.758985,ENG_02,4,"MOD_063,MOD_054",5,161,0.08321705003636315,main,cleanup,0.7365765035005337,166,166.0
CMT_00001,2024-01-01 13:49:48.267374,ENG_12,1,MOD_024,352,0,0.49683634563336776,feature,refactor,0.21808135524734812,352,518.0
CMT_00002,2024-01-01 20:00:24.989268,ENG_00,12,"MOD_053,MOD_016,MOD_027,MOD_054,MOD_012,MOD_041,MOD_005",669,234,0.43928819451826734,feature,infra,0.6995523652371193,903,1421.0
CMT_00003,2024-01-02 01:35:30.867847,ENG_07,8,"MOD_046,MOD_021,MOD_069,MOD_004,MOD_002",388,248,0.32905284669381374,integration,cleanup,0.2715109375833175,636,2057.0
CMT_00004,2024-01-02 08:17:44.698144,ENG_00,13,"MOD_078,MOD_010,MOD_022,MOD_020,MOD_055",372,0,1.0975061396021406,integration,refactor,0.6995523652371193,372,2429.0
CMT_00005,2024-01-02 08:37:01.055571,ENG_08,6,"MOD_030,MOD_050,MOD_003",274,104,0.48720166005382687,feature,cleanup,0.5883839703461092,378,2807.0
CMT_00006,2024-01-02 10:13:52.380360,ENG_16,17,"MOD_031,MOD_071,MOD_062,MOD_038,MOD_032,MOD_073",5,147,0.5339830815621496,feature,infra,0.6007409054297076,152,2959.0
CMT_00007,2024-01-02 11:13:50.182324,ENG_13,7,"MOD_052,MOD_050,MOD_065,MOD_072,MOD_070,MOD_038",153,274,0.7709553696318864,integration,cleanup,0.20271491706435024,427,3386.0
CMT_00008,2024-01-02 15:16:00.674842,ENG_06,8,"MOD_039,MOD_038,MOD_010",17,178,0.6083399052426641,integration,bugfix,0.8362953885525239,195,3581.0
CMT_00009,2024-01-02 21:13:42.092938,ENG_08,6,"MOD_062,MOD_063,MOD_002",491,47,0.06962841818893317,integration,bugfix,0.5883839703461092,538,4119.0
CMT_00010,2024-01-03 02:16:06.434062,ENG_07,5,"MOD_057,MOD_043,MOD_075",324,255,0.5734945777465129,feature,feature,0.2715109375833175,579,4698.0
CMT_00011,2024-01-03 09:04:39.009735,ENG_14,4,"MOD_023,MOD_056",421,90,1.2689053239853667,main,bugfix,0.22582895850719947,511,5209.0
CMT_00012,2024-01-03 10:19:09.143917,ENG_05,1,MOD_033,621,123,0.6874433110216138,integration,bugfix,0.7036908057665808,744,5953.0
CMT_00013,2024-01-03 16:11:46.231365,ENG_01,5,"MOD_047,MOD_068,MOD_075",385,99,0.5449597022155046,feature,refactor,0.5328423680532683,484,6437.0
CMT_00014,2024-01-03 17:44:25.826302,ENG_10,6,"MOD_033,MOD_059,MOD_003,MOD_065,MOD_039",518,0,0.6950516909500652,main,cleanup,0.6553191135654426,518,6955.0
CMT_00015,2024-01-03 19:54:23.678340,ENG_16,8,"MOD_072,MOD_061,MOD_016",226,32,0.6883475875783956,main,cleanup,0.6007409054297076,258,7213.0
CMT_00016,2024-01-04 01:35:08.933622,ENG_09,8,"MOD_058,MOD_075,MOD_072",70,0,0.47066952415407504,integration,cleanup,0.8375644245395653,70,7283.0
CMT_00017,2024-01-04 09:25:38.831427,ENG_04,9,"MOD_052,MOD_067,MOD_018,MOD_050,MOD_012,MOD_007,MOD_042",471,83,0.54987274186003,integration,cleanup,0.9058289095316346,554,7837.0
CMT_00018,2024-01-04 14:19:11.287279,ENG_00,4,"MOD_002,MOD_077",109,197,0.49940344696365013,feature,bugfix,0.6995523652371193,306,8143.0
CMT_00019,2024-01-04 14:45:20.896351,ENG_18,1,MOD_039,513,0,0.25604669530475327,integration,bugfix,0.6247044214615365,513,8656.0
CMT_00020,2024-01-04 19:41:10.594685,ENG_15,13,"MOD_053,MOD_015,MOD_006,MOD_047,MOD_024",283,64,0.9223815235046372,main,cleanup,0.9991103973512719,347,9003.0
CMT_00021,2024-01-04 20:01:30.290571,ENG_03,2,"MOD_011,MOD_008",234,340,0.4460409222082999,feature,infra,0.8764773999907662,574,9577.0
CMT_00022,2024-01-05 03:05:53.687058,ENG_01,1,MOD_068,146,24,0.648273306186181,main,refactor,0.5328423680532683,170,9747.0
CMT_00023,2024-01-05 08:46:29.541669,ENG_02,9,"MOD_035,MOD_014,MOD_002,MOD_013,MOD_055,MOD_059",5,0,0.5710748798796492,feature,feature,0.7365765035005337,5,9752.0
CMT_00024,2024-01-05 10:09:35.623646,ENG_07,5,"MOD_020,MOD_050,MOD_022,MOD_072",661,24,0.2419338119556192,main,feature,0.2715109375833175,685,10437.0
CMT_00025,2024-01-05 10:53:37.188614,ENG_16,3,"MOD_031,MOD_026",116,0,0.9497691291062893,feature,cleanup,0.6007409054297076,116,10553.0
CMT_00026,2024-01-05 12:21:42.945606,ENG_03,19,"MOD_069,MOD_061,MOD_027,MOD_055,MOD_032,MOD_031,MOD_003",693,339,0.6139199007410321,feature,refactor,0.8764773999907662,1032,11585.0
CMT_00027,2024-01-05 20:12:07.728377,ENG_16,2,MOD_033,276,82,0.28786408530446433,feature,feature,0.6007409054297076,358,11943.0
CMT_00028,2024-01-05 23:52:14.274880,ENG_00,3,"MOD_023,MOD_022",548,0,1.3800893002195918,feature,refactor,0.6995523652371193,548,12491.0
CMT_00029,2024-01-06 06:08:35.806192,ENG_14,19,"MOD_018,MOD_007,MOD_070,MOD_015,MOD_073,MOD_010,MOD_064",5,0,0.9616859747197857,main,refactor,0.22582895850719947,5,12496.0
CMT_00030,2024-01-06 11:14:04.366445,ENG_05,7,"MOD_016,MOD_018,MOD_027,MOD_058,MOD_020",877,172,0.6537086292204862,integration,refactor,0.7036908057665808,1049,13545.0
CMT_00031,2024-01-06 15:48:49.865164,ENG_19,13,"MOD_051,MOD_041,MOD_012,MOD_070,MOD_015,MOD_075",601,0,0.5983174950585205,main,refactor,0.7319258595614149,601,14146.0
CMT_00032,2024-01-06 16:58:29.616498,ENG_09,12,"MOD_059,MOD_047,MOD_044,MOD_043,MOD_018",372,101,0.5895052789635487,feature,refactor,0.8375644245395653,473,14619.0
CMT_00033,2024-01-07 00:32:35.120760,ENG_05,1,MOD_074,296,0,0.40869380953667167,integration,bugfix,0.7036908057665808,296,14915.0
CMT_00034,2024-01-07 02:57:13.788576,ENG_04,2,"MOD_052,MOD_078",369,139,0.6949255858527269,integration,infra,0.9058289095316346,508,15423.0
CMT_00035,2024-01-07 07:34:40.684391,ENG_16,9,"MOD_016,MOD_078,MOD_035,MOD_046,MOD_075,MOD_059",177,143,0.2740367352987694,integration,feature,0.6007409054297076,320,15743.0
CMT_00036,2024-01-07 13:10:34.231595,ENG_08,14,"MOD_025,MOD_050,MOD_029,MOD_051,MOD_065,MOD_023",819,450,0.5932955000798271,integration,cleanup,0.5883839703461092,1269,17012.0
CMT_00037,2024-01-07 18:22:12.146466,ENG_07,9,"MOD_063,MOD_009,MOD_044,MOD_012,MOD_079,MOD_032",742,213,0.5862205185608292,feature,bugfix,0.2715109375833175,955,17967.0
CMT_00038,2024-01-08 01:53:41.265465,ENG_14,17,"MOD_012,MOD_034,MOD_011,MOD_074,MOD_052,MOD_001",5,224,0.8839415893017937,integration,bugfix,0.22582895850719947,229,18196.0
CMT_00039,2024-01-08 03:04:56.308375,ENG_10,12,"MOD_039,MOD_024,MOD_052,MOD_044,MOD_059,MOD_068,MOD_029",876,384,0.6737647418391934,feature,cleanup,0.6553191135654426,1260,19456.0
CMT_00040,2024-01-08 07:08:56.867242,ENG_13,16,"MOD_002,MOD_037,MOD_041,MOD_004,MOD_005,MOD_030",942,418,0.49530132261511794,feature,feature,0.20271491706435024,1360,20816.0
CMT_00041,2024-01-08 10:22:53.057695,ENG_08,13,"MOD_000,MOD_045,MOD_018,MOD_051,MOD_059",209,228,0.3855084880018669,integration,infra,0.5883839703461092,437,21253.0
CMT_00042,2024-01-08 14:10:29.117104,ENG_01,6,"MOD_052,MOD_070,MOD_015,MOD_075,MOD_058",1041,21,0.5445739403817962,feature,refactor,0.5328423680532683,1062,22315.0
CMT_00043,2024-01-08 15:07:42.581858,ENG_00,9,"MOD_065,MOD_028,MOD_032,MOD_059,MOD_067",41,128,0.5791783809689132,main,cleanup,0.6995523652371193,169,22484.0
CMT_00044,2024-01-08 16:12:04.506622,ENG_00,7,"MOD_032,MOD_013,MOD_008,MOD_011,MOD_048",710,268,0.7151794947352735,main,refactor,0.6995523652371193,978,23462.0
CMT_00045,2024-01-08 18:25:33.082341,ENG_11,10,"MOD_061,MOD_069,MOD_052,MOD_034,MOD_000,MOD_032",851,148,0.41646366513213595,integration,infra,0.528134519663745,999,24461.0
CMT_00046,2024-01-08 20:51:48.574929,ENG_10,8,"MOD_035,MOD_065,MOD_058,MOD_009,MOD_077",152,142,0.7084406422222758,integration,infra,0.6553191135654426,294,24755.0
CMT_00047,2024-01-09 00:17:12.187483,ENG_14,6,"MOD_013,MOD_002,MOD_024",450,0,0.3577385210705376,main,infra,0.22582895850719947,450,25205.0
CMT_00048,2024-01-09 05:10:28.628838,ENG_17,8,"MOD_074,MOD_002,MOD_073,MOD_042,MOD_077,MOD_032",852,408,0.7574879861317599,main,bugfix,0.31927641031369425,1260,26465.0
CMT_00049,2024-01-09 10:15:05.947420,ENG_03,14,"MOD_022,MOD_050,MOD_076,MOD_014,MOD_006,MOD_035",93,294,0.77889484436076,main,feature,0.8764773999907662,387,26852.0
CMT_00050,2024-01-09 13:32:46.101242,ENG_19,7,"MOD_013,MOD_037,MOD_057",555,0,0.5440271752006532,feature,infra,0.7319258595614149,555,27241.0
CMT_00051,2024-01-09 16:48:59.054794,ENG_18,3,"MOD_058,MOD_011,MOD_048",414,105,0.38704201734239296,feature,infra,0.6247044214615365,519,27408.0
CMT_00052,2024-01-09 18:33:26.756363,ENG_12,7,"MOD_050,MOD_040,MOD_039,MOD_014,MOD_009,MOD_062",374,74,0.9622191795342322,feature,bugfix,0.21808135524734812,448,26953.0
CMT_00053,2024-01-09 23:15:49.976317,ENG_10,10,"MOD_029,MOD_028,MOD_043,MOD_071",53,0,0.46256145472973165,feature,cleanup,0.6553191135654426,53,26370.0
CMT_00054,2024-01-10 01:48:00.754563,ENG_03,6,"MOD_021,MOD_042,MOD_016",436,0,0.44047431572408036,main,infra,0.8764773999907662,436,26434.0
CMT_00055,2024-01-10 02:05:19.277790,ENG_03,6,"MOD_033,MOD_031,MOD_030",5,181,0.6775088111716316,feature,bugfix,0.8764773999907662,186,26242.0
CMT_00056,2024-01-10 05:26:09.199062,ENG_00,5,"MOD_077,MOD_010,MOD_030",478,153,0.6885381764287899,feature,refactor,0.6995523652371193,631,26721.0
CMT_00057,2024-01-10 09:13:44.220105,ENG_12,6,"MOD_056,MOD_034,MOD_005",168,148,0.3097593450196779,feature,bugfix,0.21808135524734812,316,26610.0
CMT_00058,2024-01-10 11:02:01.294709,ENG_08,9,"MOD_058,MOD_032,MOD_038,MOD_013,MOD_079,MOD_053,MOD_047",75,206,0.3973390783040258,feature,feature,0.5883839703461092,281,26696.0
CMT_00059,2024-01-10 15:36:48.083183,ENG_03,18,"MOD_078,MOD_023,MOD_049,MOD_027,MOD_010,MOD_050,MOD_038",83,352,0.8211300325725371,feature,infra,0.8764773999907662,435,26593.0
CMT_00060,2024-01-10 20:08:22.313915,ENG_02,2,MOD_067,77,266,0.7324841354812486,integration,bugfix,0.7365765035005337,343,26357.0
CMT_00061,2024-01-11 01:45:19.976731,ENG_01,4,"MOD_060,MOD_018,MOD_043,MOD_045",482,129,0.5944744958640813,integration,bugfix,0.5328423680532683,611,26457.0
CMT_00062,2024-01-11 06:56:20.893018,ENG_12,15,"MOD_049,MOD_031,MOD_057,MOD_021,MOD_060,MOD_033",51,0,0.6566994361403038,integration,infra,0.21808135524734812,51,25764.0
CMT_00063,2024-01-11 12:09:30.965046,ENG_13,8,"MOD_049,MOD_033,MOD_054,MOD_009,MOD_058,MOD_063,MOD_001",547,63,0.5325749710248739,feature,infra,0.20271491706435024,610,25890.0
CMT_00064,2024-01-11 14:41:17.932619,ENG_12,8,"MOD_006,MOD_075,MOD_024,MOD_023",159,171,0.9138614636487304,main,refactor,0.21808135524734812,330,25702.0
CMT_00065,2024-01-11 20:59:15.980612,ENG_02,5,"MOD_065,MOD_052,MOD_017",328,161,0.8358447117580675,integration,cleanup,0.7365765035005337,489,25933.0
CMT_00066,2024-01-12 01:22:51.338860,ENG_00,3,"MOD_018,MOD_034,MOD_064",430,480,0.691203171446177,feature,bugfix,0.6995523652371193,910,26773.0
CMT_00067,2024-01-12 04:49:56.182881,ENG_02,5,"MOD_004,MOD_022,MOD_034,MOD_064",469,202,0.5532849663289374,integration,infra,0.7365765035005337,671,26890.0
CMT_00068,2024-01-12 09:50:25.342332,ENG_15,7,"MOD_073,MOD_005,MOD_063,MOD_060,MOD_039",204,235,0.5436581314549055,integration,refactor,0.9991103973512719,439,27023.0
CMT_00069,2024-01-12 12:43:32.273564,ENG_14,17,"MOD_012,MOD_011,MOD_040,MOD_073,MOD_047,MOD_000,MOD_044",321,405,0.42790889944597976,integration,infra,0.22582895850719947,726,27236.0
CMT_00070,2024-01-12 16:49:39.163809,ENG_05,8,"MOD_045,MOD_021,MOD_022",5,208,0.48403175465237525,integration,refactor,0.7036908057665808,213,27102.0
CMT_00071,2024-01-12 22:43:16.287637,ENG_01,12,"MOD_022,MOD_073,MOD_037,MOD_031,MOD_000,MOD_044",598,0,0.9842778518711723,feature,infra,0.5328423680532683,598,27126.0
CMT_00072,2024-01-13 05:48:44.690775,ENG_06,14,"MOD_031,MOD_037,MOD_010,MOD_028,MOD_072,MOD_004",362,137,0.6117104382821842,feature,feature,0.8362953885525239,499,27455.0
CMT_00073,2024-01-13 13:10:51.138057,ENG_16,10,"MOD_057,MOD_018,MOD_070,MOD_001,MOD_073,MOD_014,MOD_050",899,173,0.3101756093305949,main,infra,0.6007409054297076,1072,28522.0
CMT_00074,2024-01-13 17:12:35.766302,ENG_02,15,"MOD_072,MOD_063,MOD_067,MOD_025,MOD_039,MOD_040,MOD_059",583,30,0.3098974037961975,main,bugfix,0.7365765035005337,613,28450.0
CMT_00075,2024-01-13 21:22:19.689607,ENG_15,4,"MOD_064,MOD_062",13,27,0.17631770820320253,integration,bugfix,0.9991103973512719,40,28374.0
CMT_00076,2024-01-14 03:46:15.957437,ENG_09,6,"MOD_068,MOD_013,MOD_074,MOD_018",279,269,0.4291734772650451,feature,refactor,0.8375644245395653,548,27890.0
CMT_00077,2024-01-14 06:17:12.137359,ENG_02,5,"MOD_062,MOD_028",169,144,0.3943659601649838,integration,bugfix,0.7365765035005337,313,27845.0
CMT_00078,2024-01-14 12:59:08.749395,ENG_18,3,"MOD_054,MOD_041",570,93,0.7224224055137437,integration,cleanup,0.6247044214615365,663,27960.0
CMT_00079,2024-01-14 16:56:20.028815,ENG_10,2,MOD_028,244,280,0.13365060833158537,feature,bugfix,0.6553191135654426,524,28479.0
CMT_00080,2024-01-14 17:51:56.702476,ENG_13,8,"MOD_010,MOD_047,MOD_034,MOD_018",409,369,0.6217460432441008,main,bugfix,0.20271491706435024,778,28208.0
CMT_00081,2024-01-14 18:26:32.005912,ENG_01,4,"MOD_006,MOD_025",232,0,0.737727976651618,feature,cleanup,0.5328423680532683,232,27839.0
CMT_00082,2024-01-15 01:10:41.410390,ENG_07,17,"MOD_023,MOD_039,MOD_003,MOD_057,MOD_028,MOD_079,MOD_015",532,313,0.7080736425013644,main,bugfix,0.2715109375833175,845,28211.0
CMT_00083,2024-01-15 01:37:21.766397,ENG_12,2,"MOD_057,MOD_056",491,102,0.7091852654380896,integration,cleanup,0.21808135524734812,593,28508.0
CMT_00084,2024-01-15 03:52:03.375758,ENG_12,8,"MOD_053,MOD_066,MOD_014",247,247,0.6780350196237576,feature,cleanup,0.21808135524734812,494,28494.0
CMT_00085,2024-01-15 06:32:26.320924,ENG_01,13,"MOD_063,MOD_003,MOD_026,MOD_024,MOD_067",383,244,0.6169643201809079,feature,cleanup,0.5328423680532683,627,28801.0
CMT_00086,2024-01-15 07:55:28.560946,ENG_12,10,"MOD_034,MOD_005,MOD_037,MOD_020,MOD_047,MOD_008,MOD_051",786,335,0.36972327804611027,main,cleanup,0.21808135524734812,1121,28653.0
CMT_00087,2024-01-15 10:26:08.689996,ENG_18,4,"MOD_077,MOD_025",560,275,0.7065955463695128,main,refactor,0.6247044214615365,835,28533.0
CMT_00088,2024-01-15 16:22:38.235918,ENG_15,3,"MOD_025,MOD_047,MOD_075",5,385,0.8071484695024079,main,feature,0.9991103973512719,390,28694.0
CMT_00089,2024-01-15 16:29:41.101813,ENG_04,14,"MOD_043,MOD_037,MOD_066,MOD_034,MOD_002",230,0,0.638702153534948,integration,refactor,0.9058289095316346,230,27664.0
CMT_00090,2024-01-15 23:06:43.696439,ENG_18,8,"MOD_055,MOD_039,MOD_035",491,205,0.4021574641203277,feature,bugfix,0.6247044214615365,696,27000.0
CMT_00091,2024-01-16 05:57:52.279518,ENG_13,9,"MOD_037,MOD_028,MOD_014,MOD_010",440,360,0.7141058561008589,feature,infra,0.20271491706435024,800,27363.0
CMT_00092,2024-01-16 08:56:33.412826,ENG_01,4,"MOD_062,MOD_048,MOD_047",327,99,0.6046466751335577,integration,refactor,0.5328423680532683,426,26727.0
CMT_00093,2024-01-16 10:10:17.464319,ENG_02,4,"MOD_002,MOD_007",548,98,0.49407520766398205,main,infra,0.7365765035005337,646,27204.0
CMT_00094,2024-01-16 14:58:41.668068,ENG_18,1,MOD_063,289,293,0.7198522203749895,main,cleanup,0.6247044214615365,582,26808.0
CMT_00095,2024-01-16 15:56:08.237677,ENG_04,4,"MOD_033,MOD_008",486,336,0.8745126621100543,main,feature,0.9058289095316346,822,26631.0
CMT_00096,2024-01-16 18:51:17.915276,ENG_01,1,MOD_033,277,23,0.287289570690159,main,infra,0.5328423680532683,300,26637.0
CMT_00097,2024-01-17 02:31:20.675686,ENG_09,5,"MOD_030,MOD_062,MOD_036,MOD_010,MOD_054",48,100,0.5332452947942723,main,cleanup,0.8375644245395653,148,26335.0
CMT_00098,2024-01-17 10:29:10.052496,ENG_10,20,"MOD_002,MOD_066,MOD_034,MOD_058,MOD_022,MOD_038,MOD_061",149,190,0.5325634907100572,main,cleanup,0.6553191135654426,339,25414.0
CMT_00099,2024-01-17 16:39:46.673367,ENG_11,2,MOD_017,230,333,0.4866889796374261,main,refactor,0.528134519663745,563,25590.0
CMT_00100,2024-01-17 19:09:02.364853,ENG_13,2,MOD_021,371,123,0.6413322588163558,feature,feature,0.20271491706435024,494,25529.0
CMT_00101,2024-01-18 00:39:07.118269,ENG_19,7,"MOD_057,MOD_000,MOD_052",610,166,0.756636042899743,feature,cleanup,0.7319258595614149,776,25786.0
CMT_00102,2024-01-18 06:17:42.821595,ENG_15,15,"MOD_064,MOD_061,MOD_041,MOD_000,MOD_059,MOD_043",471,496,0.6866706050286848,integration,cleanup,0.9991103973512719,967,26305.0
CMT_00103,2024-01-18 09:23:52.662416,ENG_00,4,"MOD_017,MOD_077,MOD_031,MOD_012",264,275,0.5446030911479339,feature,feature,0.6995523652371193,539,26791.0
CMT_00104,2024-01-18 14:31:30.255092,ENG_01,17,"MOD_008,MOD_077,MOD_061,MOD_031,MOD_079,MOD_071",480,181,0.43910341073561765,integration,refactor,0.5328423680532683,661,27016.0
CMT_00105,2024-01-18 14:36:39.211267,ENG_00,1,MOD_014,321,0,0.8361460787427936,integration,cleanup,0.6995523652371193,321,27151.0
CMT_00106,2024-01-18 16:17:00.071835,ENG_07,4,"MOD_046,MOD_012,MOD_031",713,342,0.21574156111492615,main,refactor,0.2715109375833175,1055,27575.0
