author_id,author_experience_score,is_senior
ENG_00,0.6995523652371193,0
ENG_01,0.5328423680532683,0
ENG_02,0.7365765035005337,1
ENG_03,0.8764773999907662,1
ENG_04,0.9058289095316346,1
ENG_05,0.7036908057665808,1
ENG_06,0.8362953885525239,1
ENG_07,0.2715109375833175,0
ENG_08,0.5883839703461092,0
ENG_09,0.8375644245395653,1
ENG_10,0.6553191135654426,0
ENG_11,0.528134519663745,0
ENG_12,0.21808135524734812,0
ENG_13,0.20271491706435024,0
ENG_14,0.22582895850719947,0
ENG_15,0.9991103973512719,1
ENG_16,0.6007409054297076,0
ENG_17,0.31927641031369425,0
ENG_18,0.6247044214615365,0
ENG_19,0.7319258595614149,1
